transaction_id,customer_id,transaction_amount,currency,country,transaction_date,payment_method,fraud_flag
58,1087,1176.2684691728994,NGN,Nigeria,2023-02-27,Bank Transfer,0
59,1055,57.71506888815905,USD,India,2023-02-28,Credit Card,0
60,1059,916.9986956160673,EUR,India,2023-03-01,Debit Card,0
61,1032,2098.9400138665346,EUR,Brazil,2023-03-02,Credit Card,0
62,1016,562.2885429983513,EUR,USA,2023-03-03,PayPal,0
63,1052,3559.71095080486,EUR,Germany,2023-03-04,Bank Transfer,0
64,1029,3493.2078259691257,USD,Nigeria,2023-03-05,Bank Transfer,0
65,1069,2451.677425670502,INR,USA,2023-03-06,Credit Card,0
66,1057,1569.8869467558245,USD,India,2023-03-07,PayPal,0
67,1051,4441.0831325362415,INR,USA,2023-03-08,PayPal,1
68,1084,156.52170595188818,USD,USA,2023-03-09,Crypto,0
69,1026,2632.8224874042503,NGN,Nigeria,2023-03-10,PayPal,0
70,1007,4495.842192496035,INR,USA,2023-03-11,PayPal,0
71,1075,2196.660213889063,INR,India,2023-03-12,PayPal,0
72,1093,3731.493935454604,BRL,Germany,2023-03-13,Bank Transfer,1
73,1025,1653.1913518977442,NGN,Nigeria,2023-03-14,Bank Transfer,0
74,1002,2727.173007793313,BRL,Brazil,2023-03-15,Credit Card,0
75,1037,471.12121294947815,NGN,Brazil,2023-03-16,Debit Card,0
76,1014,2789.147837893264,BRL,India,2023-03-17,Crypto,0
77,1029,1943.0866879975306,EUR,Germany,2023-03-18,PayPal,0
78,1061,4209.546853562544,NGN,India,2023-03-19,Crypto,0
79,1058,566.8262076389955,INR,Nigeria,2023-03-20,Credit Card,0
80,1019,3034.5114499709584,NGN,India,2023-03-21,Credit Card,0
81,1099,1632.2016383248872,USD,Nigeria,2023-03-22,Bank Transfer,0
82,1097,3362.2392768716745,NGN,Germany,2023-03-23,Bank Transfer,0
83,1010,101.32564585509255,USD,India,2023-03-24,PayPal,0
84,1011,4486.8400793476685,NGN,USA,2023-03-25,Credit Card,1
85,1001,795.224258361917,BRL,Germany,2023-03-26,Debit Card,0
86,1085,4403.794160448153,NGN,Germany,2023-03-27,Debit Card,0
87,1031,3797.0717967987143,INR,Germany,2023-03-28,Bank Transfer,0
88,1096,4841.172286710085,EUR,India,2023-03-29,Debit Card,0
89,1062,2560.8114156450188,NGN,India,2023-03-30,Credit Card,0
90,1038,2389.8107778019025,BRL,USA,2023-03-31,Crypto,0
91,1006,3480.522638266363,USD,Brazil,2023-04-01,Bank Transfer,1
92,1002,4586.87978195581,NGN,USA,2023-04-02,Debit Card,0
93,1010,3002.7819035121433,INR,Germany,2023-04-03,Credit Card,0
94,1057,4553.114086329798,INR,Brazil,2023-04-04,Bank Transfer,0
95,1032,1619.6437551992656,BRL,Brazil,2023-04-05,PayPal,0
96,1097,296.0085829421213,BRL,Germany,2023-04-06,PayPal,0
97,1099,3011.5214032268154,INR,Germany,2023-04-07,PayPal,0
98,1016,2362.862065976409,INR,USA,2023-04-08,Crypto,0
99,1095,3467.2558002118067,BRL,India,2023-04-09,Credit Card,0
100,1054,4953.435761044322,NGN,India,2023-04-10,Credit Card,0
